track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_s,class
I Need A Doctor,Dr. Dre,0.594,0.946,3,-4.521,1,0.452,0.0869,0,0.306,0.397,155.826,283.733,1
No Regrets,Dappy,0.532,0.917,8,-3.468,1,0.213,0.2,0,0.542,0.388,89.997,240.88,1
Firework,Katy Perry,0.638,0.826,8,-4.968,1,0.0479,0.139,0,0.0803,0.649,124.072,227.88,1
Right There,Nicole Scherzinger,0.751,0.799,7,-3.906,1,0.27,0.155,0,0.427,0.59,95.013,262.253,1
Just the Way You Are,Bruno Mars,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,220.733,1
Only Girl (In The World),Rihanna,0.786,0.716,11,-4.253,0,0.0409,0.102,1.72E-05,0.0557,0.595,125.921,235.52,1
F**kin' Perfect,P!nk,0.57,0.646,7,-4.748,1,0.0331,0.0412,0,0.362,0.485,91.954,213.413,1
Higher,Taio Cruz,0.665,0.902,8,-4.484,0,0.0543,0.0014,0,0.107,0.816,128.041,218.16,1
Eyes Wide Shut,JLS,0.7,0.757,0,-5.646,1,0.0445,0.00843,0,0.281,0.601,128.024,230.613,1
Forget You,CeeLo Green,0.696,0.875,0,-3.682,1,0.0649,0.134,0,0.159,0.772,127.39,222.733,1
Don't Go (feat. Josh Kumra) - Radio Edit,Wretch 32,0.687,0.797,7,-6.362,0,0.186,0.135,0,0.234,0.486,98.994,237.96,1
Judas,Lady Gaga,0.661,0.937,10,-3.83,0,0.0744,0.000967,1.59E-05,0.355,0.535,131.001,249.067,1
Blind Faith,Chase & Status,0.45,0.846,9,-4.712,0,0.0472,0.00523,0,0.228,0.402,140.042,233.667,1
Little Bad Girl (feat. Taio Cruz & Ludacris),David Guetta,0.668,0.829,11,-2.748,0,0.0334,0.00572,0,0.358,0.648,127,192.276,1
Jealousy,Will Young,0.651,0.618,0,-6.45,0,0.0388,0.00299,0.000207,0.103,0.322,122.027,246.68,1
Fast Car,Tracy Chapman,0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,296.8,1
California King Bed,Rihanna,0.475,0.577,7,-3.979,1,0.0341,0.219,0,0.121,0.319,169.897,251.6,1
Iris,The Goo Goo Dolls,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97E-06,0.0942,0.497,155.925,289.533,1
Skinny Love,Birdy,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467,201.08,1
Loca People - Radio Edit,Sak Noel,0.926,0.808,11,-3.148,0,0.0599,0.000915,0.00327,0.0515,0.701,127.998,215.625,1
Every Teardrop Is a Waterfall,Coldplay,0.425,0.733,9,-6.883,1,0.0396,0.00193,0.00922,0.171,0.313,117.985,240.796,1
Heaven,Emeli Sandé,0.39,0.954,8,-3.114,0,0.206,0.035,0.0217,0.289,0.27,87.364,251.947,1
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,210.96,1
I'm Into You,Jennifer Lopez,0.592,0.747,8,-4.439,0,0.135,0.0181,0,0.0752,0.704,83.929,200.133,1
All Of The Lights,Kanye West,0.541,0.803,1,-3.284,1,0.0738,0.0796,1.71E-05,0.176,0.221,142.135,299.613,1
Lighters,Bad Meets Evil,0.676,0.695,0,-8.327,1,0.245,0.352,0,0.119,0.144,90.268,303.813,1
